canton,produccion,area,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,PRECTOTCORR_SUM,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,WS10M,WS2M,fecha
TURRIALBA,47.2425,564.0828,15.63,10.43,22.81,0.91,0.92,0.9,122.3,91.29,19.89,18.14,19.01,24.42,14.9,1.42,0.14,2025-01-01
TURRIALBA,47.2425,564.0828,17.11,11.21,24.71,0.84,0.84,0.84,57.69,88.61,19.99,17.7,18.85,26.03,15.61,1.46,0.15,2025-02-01
TURRIALBA,2.66,78.66,0.71,0.71,0.71,0.71,0.71,0.72,78.32,84.79,20.68,17.55,19.11,27.44,15.96,1.33,0.16,2025-03-01
TURRIALBA,22.399999999999995,640.6650000000001,0.76,0.76,0.76,0.76,0.77,0.79,342.6,87.64,20.78,18.26,19.52,27.01,16.5,1.33,0.14,2025-04-01
TURRIALBA,22.575,637.767,0.86,0.86,0.86,0.86,0.88,0.89,364.74,92.25,21.6,20.04,20.82,26.25,16.62,0.97,0.13,2025-05-01
TURRIALBA,46.13,1333.2870000000005,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01
TURRIALBA,53.305,1561.4009999999996,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01
TURRIALBA,7.7,227.7,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01
TURRIALBA,47.2425,564.0828,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01
TURRIALBA,47.2425,564.0828,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01
TURRIALBA,47.2425,564.0828,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01
TURRIALBA,47.2425,564.0828,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01
OREAMUNO,0.53,7.45,15.63,10.43,22.81,0.91,0.92,0.9,122.3,91.29,19.89,18.14,19.01,24.42,14.9,1.42,0.14,2025-01-01
OREAMUNO,47.2425,564.0828,17.11,11.21,24.71,0.84,0.84,0.84,57.69,88.61,19.99,17.7,18.85,26.03,15.61,1.46,0.15,2025-02-01
OREAMUNO,5.640000000000001,131.9,0.71,0.71,0.71,0.71,0.71,0.72,78.32,84.79,20.68,17.55,19.11,27.44,15.96,1.33,0.16,2025-03-01
OREAMUNO,73.33900000000001,1802.2744800000005,0.76,0.76,0.76,0.76,0.77,0.79,342.6,87.64,20.78,18.26,19.52,27.01,16.5,1.33,0.14,2025-04-01
OREAMUNO,123.47999999999998,3050.5921200000003,0.86,0.86,0.86,0.86,0.88,0.89,364.74,92.25,21.6,20.04,20.82,26.25,16.62,0.97,0.13,2025-05-01
OREAMUNO,93.07200000000002,2304.984744,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01
OREAMUNO,43.155,1072.1440799999998,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01
OREAMUNO,1.4,34.776,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01
OREAMUNO,47.2425,564.0828,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01
OREAMUNO,47.2425,564.0828,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01
OREAMUNO,47.2425,564.0828,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01
OREAMUNO,47.2425,564.0828,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01
EL GUARCO,47.2425,564.0828,15.63,10.43,22.81,0.91,0.92,0.91,112.8,84.88,20.97,18.12,19.55,25.23,16.9,0.99,0.44,2025-01-01
EL GUARCO,0.7,13.248,17.11,11.21,24.71,0.83,0.82,0.85,60.32,81.77,21.27,17.76,19.51,26.57,17.43,1.12,0.45,2025-02-01
EL GUARCO,1.4,29.808,0.72,0.72,0.72,0.72,0.72,0.75,106.03,79.12,22.1,17.85,19.97,28.61,16.83,1.06,0.49,2025-03-01
EL GUARCO,1.19,21.528,0.74,0.74,0.74,0.74,0.74,0.78,270.67,81.47,22.21,18.53,20.37,28.22,18.26,1.0,0.46,2025-04-01
EL GUARCO,2.2749999999999995,44.2152,0.88,0.88,0.88,0.88,0.89,0.91,523.81,90.11,22.23,20.32,21.27,27.17,18.17,0.77,0.48,2025-05-01
EL GUARCO,0.91,21.114,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01
EL GUARCO,47.2425,564.0828,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01
EL GUARCO,47.2425,564.0828,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01
EL GUARCO,47.2425,564.0828,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01
